Topic_Num,Topic_Perc_Contrib,Keywords,Text
0,0.997,"video, frame, dataset, our, question, approach, answer, model, perform, learn",
0,0.9956,"video, frame, dataset, our, question, approach, answer, model, perform, learn",
0,0.9955,"video, frame, dataset, our, question, approach, answer, model, perform, learn",
0,0.9951,"video, frame, dataset, our, question, approach, answer, model, perform, learn",
0,0.9235,"video, frame, dataset, our, question, approach, answer, model, perform, learn",
1,0.9977,"imag, learn, train, network, method, model, data, our, from, deep",
1,0.9976,"imag, learn, train, network, method, model, data, our, from, deep",
1,0.9976,"imag, learn, train, network, method, model, data, our, from, deep",
1,0.9974,"imag, learn, train, network, method, model, data, our, from, deep",
1,0.9974,"imag, learn, train, network, method, model, data, our, from, deep",
2,0.9973,"model, method, estim, base, detect, face, approach, from, which, our",
2,0.9968,"model, method, estim, base, detect, face, approach, from, which, our",
2,0.9966,"model, method, estim, base, detect, face, approach, from, which, our",
2,0.9962,"model, method, estim, base, detect, face, approach, from, which, our",
2,0.996,"model, method, estim, base, detect, face, approach, from, which, our",
3,0.9975,"code, problem, n, optim, algorithm, comput, 1, be, function, show",
3,0.9969,"code, problem, n, optim, algorithm, comput, 1, be, function, show",
3,0.9959,"code, problem, n, optim, algorithm, comput, 1, be, function, show",
3,0.9958,"code, problem, n, optim, algorithm, comput, 1, be, function, show",
3,0.9945,"code, problem, n, optim, algorithm, comput, 1, be, function, show",
4,0.9955,"imag, attribut, segment, qualiti, method, base, can, network, result, our",
4,0.9954,"imag, attribut, segment, qualiti, method, base, can, network, result, our",
4,0.99,"imag, attribut, segment, qualiti, method, base, can, network, result, our",
4,0.9876,"imag, attribut, segment, qualiti, method, base, can, network, result, our",
4,0.9732,"imag, attribut, segment, qualiti, method, base, can, network, result, our",
5,0.9978,"model, languag, text, word, gener, system, task, translat, natur, our",
5,0.9973,"model, languag, text, word, gener, system, task, translat, natur, our",
5,0.9965,"model, languag, text, word, gener, system, task, translat, natur, our",
5,0.9958,"model, languag, text, word, gener, system, task, translat, natur, our",
5,0.9954,"model, languag, text, word, gener, system, task, translat, natur, our",
6,0.9973,"train, model, video, dataset, network, data, perform, featur, from, pre",
6,0.9965,"train, model, video, dataset, network, data, perform, featur, from, pre",
6,0.9955,"train, model, video, dataset, network, data, perform, featur, from, pre",
6,0.9949,"train, model, video, dataset, network, data, perform, featur, from, pre",
6,0.9939,"train, model, video, dataset, network, data, perform, featur, from, pre",
7,0.9973,"object, method, model, learn, our, featur, imag, task, from, inform",
7,0.9972,"object, method, model, learn, our, featur, imag, task, from, inform",
7,0.9971,"object, method, model, learn, our, featur, imag, task, from, inform",
7,0.997,"object, method, model, learn, our, featur, imag, task, from, inform",
7,0.9966,"object, method, model, learn, our, featur, imag, task, from, inform",
8,0.9974,"channel, number, number_of, system, rate, bound, inform, it, be, result",
8,0.9968,"channel, number, number_of, system, rate, bound, inform, it, be, result",
8,0.9967,"channel, number, number_of, system, rate, bound, inform, it, be, result",
8,0.9947,"channel, number, number_of, system, rate, bound, inform, it, be, result",
8,0.9939,"channel, number, number_of, system, rate, bound, inform, it, be, result",
9,0.9975,"channel, user, scheme, network, optim, can, rate, it, commun, base",
9,0.997,"channel, user, scheme, network, optim, can, rate, it, commun, base",
9,0.9968,"channel, user, scheme, network, optim, can, rate, it, commun, base",
9,0.9963,"channel, user, scheme, network, optim, can, rate, it, commun, base",
9,0.9961,"channel, user, scheme, network, optim, can, rate, it, commun, base",
